branch_id,reporting_period,kpi_id,reported_value,average_branch_value,previous_month_value,month_over_month_change_pct,kpi_value_rank
B018,2025-12-31,DEFAULT_RATE,3.5061818314187594,2.4948072804284442,0.7009697010464735,400.1902116716887,5
B011,2025-12-31,DEFAULT_RATE,3.0030207566778473,2.4948072804284442,2.8357742193015034,5.897738128726601,6
B020,2025-12-31,DEFAULT_RATE,2.473286043815563,2.4948072804284442,3.0246282640414717,-18.2284291521237,7
B015,2025-12-31,DEFAULT_RATE,1.9962579173520179,2.4948072804284442,1.9997021651932356,-0.17223804130276313,8
B003,2025-12-31,DEFAULT_RATE,1.4763028856735523,2.4948072804284442,1.469887861672549,0.4364294833827492,9
B004,2025-12-31,DEFAULT_RATE,1.1904458954833166,2.4948072804284442,1.1841866867998372,0.5285660405788191,10
B010,2025-12-31,DEFAULT_RATE,0.9422097359616726,2.4948072804284442,0.834123295084927,12.958089231369645,11
B009,2025-12-31,DEFAULT_RATE,0.9111826619152923,2.4948072804284442,1.5904120200578016,-42.70776060393605,12
B001,2025-12-31,DEFAULT_RATE,0.757695104939102,2.4948072804284442,1.2889251338785335,-41.21496392431229,13
B019,2025-12-31,DEFAULT_RATE,0.7451459399563484,2.4948072804284442,0.7466271562974384,-0.19838768635679196,14
B006,2025-12-31,DEFAULT_RATE,0.6095711175929944,2.4948072804284442,3.471012996302679,-82.43823580486996,15
B016,2025-12-31,DEFAULT_RATE,0.5500183615089463,2.4948072804284442,0.5478465572204125,0.39642565238573463,16
B005,2025-12-31,DEFAULT_RATE,0.286316724626253,2.4948072804284442,0.2926509908165511,-2.16444378767497,17
B002,2025-12-31,DEFAULT_RATE,0.0,2.4948072804284442,0.0,,18
B012,2025-12-31,DEFAULT_RATE,0.0,2.4948072804284442,0.0,,18
B014,2025-12-31,DEFAULT_RATE,0.0,2.4948072804284442,0.0,,18
B020,2025-12-31,DEPOSIT_VOLUME,6244327.1,3324173.9435,6159729.54,1.3733973131554018,1
B016,2025-12-31,DEPOSIT_VOLUME,5635493.0,3324173.9435,5597451.05,0.6796298826052295,2
B008,2025-12-31,DEPOSIT_VOLUME,5051884.2700000005,3324173.9435,4910896.6,2.8709150585659016,3
B017,2025-12-31,DEPOSIT_VOLUME,4963410.95,3324173.9435,4866192.93,1.9978250225274257,4
B011,2025-12-31,DEPOSIT_VOLUME,4805319.62,3324173.9435,4758886.35,0.9757171444113283,5
B006,2025-12-31,DEPOSIT_VOLUME,4090829.52,3324173.9435,4085768.8,0.12386212357390866,6
B005,2025-12-31,DEPOSIT_VOLUME,3868875.84,3324173.9435,3806991.14,1.6255540852138606,7
B001,2025-12-31,DEPOSIT_VOLUME,3745989.4,3324173.9435,3650502.9,2.615708098738944,8
B018,2025-12-31,DEPOSIT_VOLUME,3409153.05,3324173.9435,3358483.52,1.5087026539883035,9
B012,2025-12-31,DEPOSIT_VOLUME,3331484.4,3324173.9435,3293048.74,1.1671755578084666,10
B019,2025-12-31,DEPOSIT_VOLUME,2818351.55,3324173.9435,2784426.53,1.2183844549132357,11
B004,2025-12-31,DEPOSIT_VOLUME,2686744.79,3324173.9435,2609204.43,2.9718008718849163,12
B002,2025-12-31,DEPOSIT_VOLUME,2281815.83,3324173.9435,2250511.05,1.391007611360107,13
B013,2025-12-31,DEPOSIT_VOLUME,2180009.84,3324173.9435,2113204.78,3.1613150146291105,14
B007,2025-12-31,DEPOSIT_VOLUME,2165887.37,3324173.9435,2121623.95,2.0862990352272335,15
B015,2025-12-31,DEPOSIT_VOLUME,2133964.54,3324173.9435,2092269.08,1.9928344971766232,16
B014,2025-12-31,DEPOSIT_VOLUME,1961635.63,3324173.9435,1955658.97,0.305608497784249,17
B003,2025-12-31,DEPOSIT_VOLUME,1747680.58,3324173.9435,1694162.83,3.158949603445142,18
B010,2025-12-31,DEPOSIT_VOLUME,1738390.04,3324173.9435,1714924.2,1.3683310317738875,19
B009,2025-12-31,DEPOSIT_VOLUME,1622231.55,3324173.9435,1604303.7,1.1174848004152889,20
B016,2025-12-31,LOAN_PORTFOLIO,8763985.6,4926059.903,8848457.54,-0.9546515832633976,1
B019,2025-12-31,LOAN_PORTFOLIO,8617968.18,4926059.903,8719925.26,-1.1692425905035806,2
B006,2025-12-31,LOAN_PORTFOLIO,7803448.79,4926059.903,7912247.24,-1.3750638307910128,3
B020,2025-12-31,LOAN_PORTFOLIO,7302330.05,4926059.903,7394729.88,-1.249536244047363,4
B011,2025-12-31,LOAN_PORTFOLIO,6720259.91,4926059.903,6796646.88,-1.1238919918699637,5
B001,2025-12-31,LOAN_PORTFOLIO,6428903.88,4926059.903,6507725.53,-1.2112012044244953,6
B018,2025-12-31,LOAN_PORTFOLIO,6387083.75,4926059.903,6457270.54,-1.0869420688698608,7
B008,2025-12-31,LOAN_PORTFOLIO,5555916.42,4926059.903,5610540.58,-0.9735988755650378,8
B017,2025-12-31,LOAN_PORTFOLIO,5500288.97,4926059.903,5559127.91,-1.058420330537068,9
B002,2025-12-31,LOAN_PORTFOLIO,4725736.84,4926059.903,4784275.94,-1.2235728192550817,10
B012,2025-12-31,LOAN_PORTFOLIO,4180000.9899999998,4926059.903,4230112.22,-1.1846312200199736,11
B007,2025-12-31,LOAN_PORTFOLIO,3801687.68,4926059.903,3849129.5,-1.2325337456170242,12
B005,2025-12-31,LOAN_PORTFOLIO,3638201.72,4926059.903,3686579.01,-1.3122542570978175,13
B014,2025-12-31,LOAN_PORTFOLIO,3606112.13,4926059.903,3642406.33,-0.9964346838810866,14
B010,2025-12-31,LOAN_PORTFOLIO,3336588.32,4926059.903,3375500.98,-1.1527965842865835,15
B013,2025-12-31,LOAN_PORTFOLIO,3074344.72,4926059.903,3114812.49,-1.2992040493583616,16
B004,2025-12-31,LOAN_PORTFOLIO,2934242.55,4926059.903,2964725.95,-1.0282029608841374,17
B003,2025-12-31,LOAN_PORTFOLIO,2512870.52,4926059.903,2544566.2199999997,-1.2456229179997416,18
B009,2025-12-31,LOAN_PORTFOLIO,1961456.3299999998,4926059.903,1983702.94,-1.1214688223429312,19
B015,2025-12-31,LOAN_PORTFOLIO,1669770.71,4926059.903,1689728.6300000001,-1.181131670829307,20
